Indicator,Name,ORGID ,FACID ,Cohort,Fiscal Year,Value
Total Surplus,Cooley Dickinson Hospital,50,2155,Community Hospital,FY14,-431000
Total Surplus,Cooley Dickinson Hospital,50,2155,Community Hospital,FY15,3730000
Total Surplus,Cooley Dickinson Hospital,50,2155,Community Hospital,FY16,6985000
Total Surplus,Cooley Dickinson Hospital,50,2155,Community Hospital,FY17,4866000
Total Surplus,Cooley Dickinson Hospital,50,2155,Community Hospital,FY18,-643000
Total Surplus,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY14,34571076
Total Surplus,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY15,4661503
Total Surplus,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY16,43326978
Total Surplus,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY17,29886837
Total Surplus,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY18,113111736
Total Surplus,Emerson Hospital,57,2018,Community Hospital,FY14,2076704
Total Surplus,Emerson Hospital,57,2018,Community Hospital,FY15,-238046
Total Surplus,Emerson Hospital,57,2018,Community Hospital,FY16,2362029
Total Surplus,Emerson Hospital,57,2018,Community Hospital,FY17,3576583
Total Surplus,Emerson Hospital,57,2018,Community Hospital,FY18,6232544
Total Surplus,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY14,3920208
Total Surplus,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY15,5197768
Total Surplus,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY16,3216881
Total Surplus,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY17,3216239
Total Surplus,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY18,3611800
Total Surplus,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY14,14405976
Total Surplus,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY15,14819789
Total Surplus,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY16,16053207
Total Surplus,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY17,9639591
Total Surplus,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY18,11118148
Total Surplus,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY14,3303456
Total Surplus,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY15,9258280
Total Surplus,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY16,12419814
Total Surplus,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY17,9297652
Total Surplus,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY18,12128435
Total Surplus,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY14,3910395
Total Surplus,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY15,6955135
Total Surplus,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY16,8188001
Total Surplus,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY17,6609706
Total Surplus,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY18,-13656000
Total Surplus,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY14,4260356
Total Surplus,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY15,4601921
Total Surplus,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY16,5374621
Total Surplus,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY17,4207427
Total Surplus,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY18,2930051
Total Surplus,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY14,6185448
Total Surplus,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY15,3580883
Total Surplus,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY16,5018290
Total Surplus,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY17,3024660
Total Surplus,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY18,5440052
Total Surplus,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY14,67184249
Total Surplus,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY15,31422770
Total Surplus,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY16,52364958
Total Surplus,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY17,18846421
Total Surplus,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY18,66375812
Total Surplus,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY14,9770000
Total Surplus,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY15,-3957000
Total Surplus,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY16,3619000
Total Surplus,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY17,3122000
Total Surplus,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY18,-159000
Total Surplus,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY14,17568472
Total Surplus,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY15,10697698
Total Surplus,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY16,10378655
Total Surplus,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY17,2312000
Total Surplus,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY18,23178000
Total Surplus,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY14,2927000
Total Surplus,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY15,4617000
Total Surplus,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY16,8918000
Total Surplus,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY17,6676000
Total Surplus,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY18,-131000
Total Surplus,Martha's Vineyard Hospital,88,2042,Community Hospital,FY14,3837000
Total Surplus,Martha's Vineyard Hospital,88,2042,Community Hospital,FY15,2353000
Total Surplus,Martha's Vineyard Hospital,88,2042,Community Hospital,FY16,3726000
Total Surplus,Martha's Vineyard Hospital,88,2042,Community Hospital,FY17,6345000
Total Surplus,Martha's Vineyard Hospital,88,2042,Community Hospital,FY18,2898000
Total Surplus,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY14,-527759
Total Surplus,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY15,2932698
Total Surplus,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY16,-3103392
Total Surplus,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY17,-1063715
Total Surplus,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY18,15867000
Total Surplus,Massachusetts General Hospital,91,2168,Academic Medical Center,FY14,200086000
Total Surplus,Massachusetts General Hospital,91,2168,Academic Medical Center,FY15,201124000
Total Surplus,Massachusetts General Hospital,91,2168,Academic Medical Center,FY16,142821000
Total Surplus,Massachusetts General Hospital,91,2168,Academic Medical Center,FY17,223502000
Total Surplus,Massachusetts General Hospital,91,2168,Academic Medical Center,FY18,250628000
Total Surplus,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY14,13507000
Total Surplus,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY15,13004000
Total Surplus,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY16,-1878000
Total Surplus,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY17,7864000
Total Surplus,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY18,20094000
Total Surplus,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY14,17667822
Total Surplus,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY15,17023977
Total Surplus,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY16,-4808094
Total Surplus,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY17,11272308
Total Surplus,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY18,-12567414
Total Surplus,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY14,-5993741
Total Surplus,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY15,3874506
Total Surplus,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY16,785866
Total Surplus,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY17,-3030650
Total Surplus,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY18,4806704
Total Surplus,Milford Regional Medical Center,97,2105,Community Hospital,FY14,7863000
Total Surplus,Milford Regional Medical Center,97,2105,Community Hospital,FY15,7417851
Total Surplus,Milford Regional Medical Center,97,2105,Community Hospital,FY16,116628
Total Surplus,Milford Regional Medical Center,97,2105,Community Hospital,FY17,10222640
Total Surplus,Milford Regional Medical Center,97,2105,Community Hospital,FY18,8541125
Total Surplus,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY14,8936862
Total Surplus,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY15,5413381
Total Surplus,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY16,1264937
Total Surplus,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY17,-3422803
Total Surplus,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY18,-8566906
Total Surplus,Mount Auburn Hospital,100,2071,Teaching Hospital,FY14,30679000
Total Surplus,Mount Auburn Hospital,100,2071,Teaching Hospital,FY15,24732000
Total Surplus,Mount Auburn Hospital,100,2071,Teaching Hospital,FY16,23733000
Total Surplus,Mount Auburn Hospital,100,2071,Teaching Hospital,FY17,3897000
Total Surplus,Mount Auburn Hospital,100,2071,Teaching Hospital,FY18,20996000
Total Surplus,Nantucket Cottage Hospital,101,2044,Community Hospital,FY14,2349000
Total Surplus,Nantucket Cottage Hospital,101,2044,Community Hospital,FY15,1004000
Total Surplus,Nantucket Cottage Hospital,101,2044,Community Hospital,FY16,-2318000
Total Surplus,Nantucket Cottage Hospital,101,2044,Community Hospital,FY17,-9035000
Total Surplus,Nantucket Cottage Hospital,101,2044,Community Hospital,FY18,-5773000
Total Surplus,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY14,3157161
Total Surplus,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY15,3581078
Total Surplus,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY16,1341379
Total Surplus,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY17,-3618094
Total Surplus,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY18,-1094569
Total Surplus,New England Baptist Hospital,103,2059,Specialty Hospital,FY14,5534690
Total Surplus,New England Baptist Hospital,103,2059,Specialty Hospital,FY15,5920383
Total Surplus,New England Baptist Hospital,103,2059,Specialty Hospital,FY16,6241417.33
Total Surplus,New England Baptist Hospital,103,2059,Specialty Hospital,FY17,10066729
Total Surplus,New England Baptist Hospital,103,2059,Specialty Hospital,FY18,8876000
Total Surplus,Newton-Wellesley Hospital,105,2075,Community Hospital,FY14,11769000
Total Surplus,Newton-Wellesley Hospital,105,2075,Community Hospital,FY15,19192000
Total Surplus,Newton-Wellesley Hospital,105,2075,Community Hospital,FY16,-6752000
Total Surplus,Newton-Wellesley Hospital,105,2075,Community Hospital,FY17,1766000
Total Surplus,Newton-Wellesley Hospital,105,2075,Community Hospital,FY18,1033000
Total Surplus,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY14,-22158000
Total Surplus,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY15,-35989000
Total Surplus,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY16,-48005000
Total Surplus,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY17,-57726000
Total Surplus,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY18,-32167000
Total Surplus,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY14,19194000
Total Surplus,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY15,13882951
Total Surplus,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY16,25902080
Total Surplus,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY17,33083543
Total Surplus,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY18,27958080
Total Surplus,Quincy Medical Center,112,2151,Community High Public Payer Hospital,FY14,-39096126
Total Surplus,Saint Vincent Hospital,127,2128,Teaching Hospital,FY14,65222309
Total Surplus,Saint Vincent Hospital,127,2128,Teaching Hospital,FY15,44900054
Total Surplus,Saint Vincent Hospital,127,2128,Teaching Hospital,FY16,47641544
Total Surplus,Saint Vincent Hospital,127,2128,Teaching Hospital,FY17,51865819
Total Surplus,Saint Vincent Hospital,127,2128,Teaching Hospital,FY18,72180428
Total Surplus,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY14,-31970249
Total Surplus,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY15,-34123518
Total Surplus,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY16,-36233527
Total Surplus,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY17,-41135896
Total Surplus,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY18,-31724000
Total Surplus,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY14,-12880589
Total Surplus,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY15,-10114090
Total Surplus,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY16,-9802677
Total Surplus,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY17,-9305413
Total Surplus,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY18,-11892000
Total Surplus,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY14,25655699
